"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Nippon Telegraph & Telephone Corp","Nippon Telegraph & Telephone Corp","ACCT0031588","14,414,400","129,361.96","18,720,000","156,000","CON5017696","","App Engine - Unrestricted User (JPY)","650","1,848","App Engine Unrestricted User","Now Platform App Engine","CLI0171467"
"Nippon Securities Technology Co Ltd","Nippon Securities Technology Co Ltd","ACCT0064045","1,764,180","16,095.95","0","0","CON0058150","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","147,015","App Engine ITSM","Now Platform App Engine","CLI0206670"
"Nilfisk AS","Nilfisk AS","ACCT0023035","12,960","14,144.54","18,455.04","20,736","CON0589848","","Now Platform App Engine Starter + - Platform User (EUR)","108","10","App Engine Starter","App Engine - Legacy","CLI0126682"
"Nike Inc","Nike Inc","ACCT0001662","210,000","210,000","900,000","900,000","CON0876746","","App Engine - Fulfiller   (USD)","500","35","App Engine Fulfiller","Now Platform App Engine","CLI0177386"
"NIH - Center for Scientific Review","NIH - Center for Scientific Review","ACCT0145720","13,500","13,500","15,000","15,000","CON1189085","","Now Platform App Engine Standard - Platform User (USD)","50","22.5","App Engine Standard","App Engine - Legacy","CLI0182961"
"NICE Systems Ltd","NICE Systems Ltd","ACCT0007661","39,852","39,852","0","0","CON0026100-ADDL","","Now Platform® App Engine for IT Service Management - Module (USD)","1","3,321","App Engine ITSM","Now Platform App Engine","CLI0178561"
"NHS National Services Scotland","NHS National Services Scotland","ACCT0033373","38,304","54,186.91","38,304","63,000","ORD1060587-5","","App Engine - Fulfiller   (GBP)","35","91.2","App Engine Fulfiller","Now Platform App Engine","CLI0163118"
"NHS Hertfordshire Bedfordshire & Luton ICT Shared Services","NHS Hertfordshire Bedfordshire & Luton ICT Shared Services","ACCT0024764","12,678","15,703.4","11,400","15,000","CON0053928","","Now Platform App Engine Standard - Platform User (GBP)","50","21.13","App Engine Standard","App Engine - Legacy","CLI0137804"
"NHS Blood And Transplant","NHS Blood And Transplant","ACCT0010718","0","0","0","0","BV-12013SOFT","","Now Platform App Engine Starter - Unrestricted User (GBP)","0","0","App Engine Starter","App Engine - Legacy","CLI0101633"
"NHS Blood And Transplant","NHS Blood And Transplant","ACCT0010718","4,395.6","6,107.99","42,180","55,500","BV-12013SOFT","","Now Platform App Engine Standard - Platform User (GBP)","185","1.98","App Engine Standard","App Engine - Legacy","CLI0121549"
"NexTier Oilfield Solutions","NexTier Oilfield Solutions","ACCT0029220","184,128","184,128","336,000","336,000","CON0095653","","App Engine - Unrestricted User (USD)","1,400","10.96","App Engine Unrestricted User","Now Platform App Engine","CLI0181842"
"Nexa Recursos Minerais SA","Nexa Recursos Minerais SA","ACCT0094588","7,135.8","1,400.2","46,710","9,000","CON0742641","","App Engine - Fulfiller   (BRL)","5","118.93","App Engine Fulfiller","Now Platform App Engine","CLI0153167"
"News Corp","News Corp","ACCT0004564","60,000","60,000","360,000","360,000","CON5004248","","App Engine - Fulfiller   (USD)","200","25","App Engine Fulfiller","Now Platform App Engine","CLI0175991"
"Newport Corp","Newport Corp","ACCT0005707","1,500","1,500","1,500","1,500","30110CJ","","Now Platform App Engine Standard - Platform User (USD)","5","25","App Engine Standard","App Engine - Legacy","CLI0169839"
"New Zealand Police","New Zealand Police","ACCT0059483","71,985.6","49,986.25","165,240","108,000","CON0655342","","App Engine - Fulfiller   (NZD)","60","99.98","App Engine Fulfiller","Now Platform App Engine","CLI0205103"
"New York University","New York University","ACCT0009095","0","0","0","0","11512LJ","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0209589"
"New York State Office Of The State Comptroller","New York State Office Of The State Comptroller","ACCT0000070","20,930.4","20,930.4","0","0","38513PS","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,744.2","App Engine ITSM","Now Platform App Engine","CLI0164263"
"New York State ITS","New York State ITS","ACCT0010314","0","0","0","0","07110BS","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0205343"
"New York Public Library","New York Public Library","ACCT0009389","184,800","184,800","720,000","720,000","20912JF","","App Engine - Fulfiller   (USD)","400","38.5","App Engine Fulfiller","Now Platform App Engine","CLI0208767"
"New Directions Behavioral Health LLC","New Directions Behavioral Health LLC","ACCT0076411","41,081.04","41,081.04","0","0","CON0580771","","Now Platform® App Engine for IT Service Management - Module (USD)","1","3,423.42","App Engine ITSM","Now Platform App Engine","CLI0136706"
"Nets Denmark AS","Nets Denmark AS","ACCT0016129","0","0","0","0","CON1132397","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","0","App Engine ITSM","Now Platform App Engine","CLI0176287"
"Nets Denmark AS","Nets Denmark AS","ACCT0016129","0","0","2,242,800","2,520,000","CON1132397-PROD","","App Engine - Fulfiller   (EUR)","1,400","0","App Engine Fulfiller","Now Platform App Engine","CLI0200070"
"NetApp Inc","NetApp Inc","ACCT0003590","40,800","40,800","150,000","150,000","26109DD","","Now Platform App Engine Standard - Platform User (USD)","500","6.8","App Engine Standard","App Engine - Legacy","CLI0108534"
"Net One Systems Co., Ltd.","Net One Systems Co., Ltd.","ACCT0029286","88,200,000","797,511.07","252,000,000","2,100,000","BV-30214KW","","Now Platform App Engine Professional - Platform User (JPY)","1,750","4,200","App Engine Professional","App Engine - Legacy","CLI0101581"
"Net One Systems Co Ltd - Internal DX","Net One Systems Co Ltd - Internal DX","ACCT0141203","108,000,000","975,731.46","108,000,000","900,000","BV-30214KW-HR","","Now Platform App Engine Enterprise - Unrestricted User (JPY)","3,000","3,000","App Engine Enterprise","Now Platform App Engine","CLI0100603"
"NEC Corp","NEC Corp","ACCT0031582","3,207,600","28,786.59","14,580,000","81,000","CON1286330","","App Engine - Fulfiller   (JPY)","45","5,940","App Engine Fulfiller","Now Platform App Engine","CLI0189294"
"NEC Corp","NEC Corp","ACCT0031582","3,065,040","27,507.19","9,288,000","77,400","CON1286310","","App Engine - Fulfiller   (JPY)","43","5,940","App Engine Fulfiller","Now Platform App Engine","CLI0189231"
"NEC - Internal","NEC - Internal","ACCT0142993","5,702,400","51,535.75","0","0","CON1094186","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","475,200","App Engine ITSM","Now Platform App Engine","CLI0211820"
"NEC - Internal","NEC - Internal","ACCT0142993","0","0","0","0","CON1094186","","App Engine - Fulfiller   (JPY)","0","0","App Engine Fulfiller","Now Platform App Engine","CLI0131936"
"Nebraska Furniture Mart Inc","Nebraska Furniture Mart Inc","ACCT0009608","121,338","121,338","1,348,200","1,348,200","33712CM","","App Engine - Fulfiller   (USD)","749","13.5","App Engine Fulfiller","Now Platform App Engine","CLI0174890"
"NCS Pte Ltd - Ministry Of Education","NCS Pte Ltd - Ministry Of Education","ACCT0095805","45,630","45,630","63,000","63,000","CON0856819-MOE","","Now Platform App Engine Starter - Platform User (USD)","750","5.07","App Engine Starter","App Engine - Legacy","CLI0207393"
"NCI Information Systems Inc - Federal","NCI Information Systems Inc - Federal","ACCT0151344","64,800","64,800","90,000","90,000","CON1261618","","App Engine - Fulfiller   (USD)","50","108","App Engine Fulfiller","Now Platform App Engine","CLI0140654"
"NCC Industry Nordic AB","NCC Industry Nordic AB","ACCT0015932","4,543.2","5,293.74","24,030","27,000","BV-24813JD -IndNor","","App Engine - Fulfiller   (EUR)","15","25.24","App Engine Fulfiller","Now Platform App Engine","CLI0145840"
"NCC AB","NCC AB","ACCT0025886","45,432","50,874.75","240,300","270,000","BV-24813JD","","App Engine - Fulfiller   (EUR)","150","25.24","App Engine Fulfiller","Now Platform App Engine","CLI0145808"
"NC Dept Of Transportation NCDOT","NC Dept Of Transportation NCDOT","ACCT0000543","14,400","14,400","36,000","36,000","CON0017150","","App Engine - Fulfiller   (USD)","20","60","App Engine Fulfiller","Now Platform App Engine","CLI0203159"
"Natura Cosmeticos SA","Natura Cosmeticos SA","ACCT0019201","478,524","83,233.6","934,200","180,000","CON1226725","","App Engine - Fulfiller   (BRL)","100","398.77","App Engine Fulfiller","Now Platform App Engine","CLI0193828"
"NATS En-Route Plc (formely NATS Ltd)","NATS En-Route Plc (formely NATS Ltd)","ACCT0014022","11,808","16,332","13,680","18,000","CON0618904","","App Engine - Fulfiller   (GBP)","10","98.4","App Engine Fulfiller","Now Platform App Engine","CLI0193721"
"Nationale-Nederlanden BV","Nationale-Nederlanden BV","ACCT0009766","64,080","78,472.37","160,200","180,000","CON0566106","","App Engine - Fulfiller   (EUR)","100","53.4","App Engine Fulfiller","Now Platform App Engine","CLI0172304"
"National Veterinary Associates Inc","National Veterinary Associates Inc","ACCT0056535","9,240","9,240","13,200","13,200","CON0909797","","Now Platform App Engine Professional - Platform User (USD)","11","70","App Engine Professional","App Engine - Legacy","CLI0114420"
"National Technical Information Service","National Technical Information Service","ACCT0007104","3,229.2","3,229.2","3,780","3,780","32114CAR","","Now Platform App Engine Starter - Platform User (USD)","45","5.98","App Engine Starter","App Engine - Legacy","CLI0150149"
"National Nuclear Security Administration NNSS","National Nuclear Security Administration NNSS","ACCT0022063","45,360","45,360","75,600","75,600","CON0835715","","App Engine - Fulfiller   (USD)","42","90","App Engine Fulfiller","Now Platform App Engine","CLI0211732"
"National Marrow Donor Program Inc","National Marrow Donor Program Inc","ACCT0011126","73,800","73,800","73,800","73,800","26411MM","","App Engine - Fulfiller   (USD)","41","150","App Engine Fulfiller","Now Platform App Engine","CLI0156685"
"National Grid Plc UK","National Grid Plc UK","ACCT0007574","93,024","128,664.26","136,800","180,000","CON0065201","","App Engine - Fulfiller   (GBP)","100","77.52","App Engine Fulfiller","Now Platform App Engine","CLI0181205"
"National Capital Commission","National Capital Commission","ACCT0148690","59,400","46,388.83","138,240","108,000","CON5016888","","App Engine - Unrestricted User (CAD)","450","11","App Engine Unrestricted User","Now Platform App Engine","CLI0176526"
"National Cancer Institute","National Cancer Institute","ACCT0010566","","","","","23114CAR","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","11,640","App Engine CSM","Now Platform App Engine","CLI0214451"
"National Bank Of Belgium","National Bank Of Belgium","ACCT0001836","0","0","0","0","BV-31913SD","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","0","App Engine ITSM","Now Platform App Engine","CLI0215596"
"NAL Resources Management Ltd","NAL Resources Management Ltd","ACCT0040190","11,037.6","11,037.6","12,264","12,264","34412KM-NAL","","Now Platform App Engine Starter - Platform User (USD)","146","6.3","App Engine Starter","App Engine - Legacy","CLI0133566"
"Murata Electronics Singapore Pte Ltd","Murata Electronics Singapore Pte Ltd","ACCT0026298","30,072","30,072","50,400","50,400","CON1067084","","Now Platform App Engine Starter - Unrestricted User (USD)","1,400","1.79","App Engine Starter","App Engine - Legacy","CLI0141069"
"MUFG Bank Ltd","MUFG Bank Ltd","ACCT0026626","30,720","42,271.09","131,400","180,000","CON1075856-UK","","App Engine - Fulfiller   (GBP)","100","25.6","App Engine Fulfiller","Now Platform App Engine","CLI0193655"
"MT Services Limited Partnership","MT Services Limited Partnership","ACCT0010270","269,676","209,279.99","3,890,700","2,970,000","CON0080615","","App Engine - Fulfiller   (CAD)","1,650","13.62","App Engine Fulfiller","Now Platform App Engine","CLI0173866"
"MSC Mediterranean Shipping Co SA","MSC Mediterranean Shipping Co SA","ACCT0006516","30,000","30,000","151,200","151,200","BV-24015FM","","App Engine - Fulfiller   (USD)","84","29.76","App Engine Fulfiller","Now Platform App Engine","CLI0170632"
"MPO - A55","MPO - A55","ACCT0142953","135,000","135,000","150,000","150,000","CON1080470","","Now Platform App Engine Standard - Platform User (USD)","500","22.5","App Engine Standard","App Engine - Legacy","CLI0155306"
"Mott MacDonald Ltd","Mott MacDonald Ltd","ACCT0011068","36,000","49,630.99","157,680","216,000","CON1162693","","App Engine - Fulfiller   (GBP)","120","25","App Engine Fulfiller","Now Platform App Engine","CLI0193327"
"Motor Insurers' Bureau","Motor Insurers' Bureau","ACCT0020148","19,954.8","27,231.77","39,420","54,000","CON0626589","","App Engine - Fulfiller   (GBP)","30","55.43","App Engine Fulfiller","Now Platform App Engine","CLI0172219"
"Moses Cone Health System","Moses Cone Health System","ACCT0006851","105,000","105,000","180,000","180,000","28111CB","","App Engine - Fulfiller   (USD)","100","87.5","App Engine Fulfiller","Now Platform App Engine","CLI0192248"
"Montgomery County Office of CARES Act","Montgomery County Office of CARES Act","ACCT0151177","25,200","25,200","50,400","50,400","CON1258538","","App Engine - Fulfiller   (USD)","28","75","App Engine Fulfiller","Now Platform App Engine","CLI0141615"
"MoneyGram Payment Systems Inc","MoneyGram Payment Systems Inc","ACCT0001522","212,160","212,160","408,000","408,000","35213RL","","Now Platform App Engine Standard - Unrestricted User (USD)","4,250","4.16","App Engine Standard","App Engine - Legacy","CLI0122934"
"Monex Grupo Financiero SA De CV","Monex Grupo Financiero SA De CV","ACCT0032969","604,506.24","25,300.53","785,064.96","41,472","CON0628378-MXN","","Now Platform App Engine Starter + - Platform User (MXN)","216","233.22","App Engine Starter","App Engine - Legacy","CLI0134242"
"Molnlycke Health Care AB","Molnlycke Health Care AB","ACCT0019602","35,904","43,508.47","70,488","79,200","BV-13710SMP","","App Engine - Fulfiller   (EUR)","44","68","App Engine Fulfiller","Now Platform App Engine","CLI0200363"
"Moet Hennessy SAS","Moet Hennessy SAS","ACCT0158966","0","0","0","0","BV-35312EO-MHIS","","App Engine - Fulfiller   (EUR)","0","0","App Engine Fulfiller","Now Platform App Engine","CLI0196626"
"MobiChord Inc.","MobiChord Inc.","ACCT0048775","9,600","9,600","144,000","144,000","CON1047684","","App Engine - Fulfiller   (USD)","80","10","App Engine Fulfiller","Now Platform App Engine","CLI0140084"
"MLC Life Insurance","MLC Life Insurance","ACCT0081076","29,808","22,275.22","93,600","72,000","CON0557949","","App Engine - Fulfiller   (AUD)","40","62.1","App Engine Fulfiller","Now Platform App Engine","CLI0156447"
"Mizuho Hong Kong","Mizuho Hong Kong","ACCT0009486","1,137.36","1,137.36","0","0","BV-07615TI-UK","","Now Platform® App Engine for IT Service Management - Module (USD)","1","94.78","App Engine ITSM","Now Platform App Engine","CLI0185351"
"Mizuho Bank Ltd","Mizuho Bank Ltd","ACCT0160914","0","0","0","0","CON1446027","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0212245"
"Mitsubishi UFJ Financial Group Inc","Mitsubishi UFJ Financial Group Inc","ACCT0027554","1,036,800","9,367.02","0","0","CON1410562","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","86,400","App Engine ITSM","Now Platform App Engine","CLI0209976"
